Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,Mapped_Title,FamilySize,TicketPrefix,TicketNumber,TicketNumberLengthGroup,TicketNumberPrefix,Mapped_Sex,AgeGroup,Age_Pclass_Group,FareGroup,FamilySizeGroup,Age_Pclass,family_size_pclass_total,family_size_pclass_survived
0,1,45.5,0,0,28.5,S,0,1,UNKNOWN,113043,6,6_11,0,40-50,40-50_Pclass_1,20-30,Alone,45.5,109,0.5365853658536586
0,2,23.0,0,0,13.0,S,0,1,UNKNOWN,28425,5,5_28,0,20-30,20-30_Pclass_2,10-20,Alone,46.0,104,0.36470588235294116
0,3,32.0,0,0,7.925,S,0,1,STON/O,3101293,7,7_31,0,30-40,30-40_Pclass_3,0-10,Alone,96.0,324,0.21374045801526717
0,3,26.0,1,0,7.8542,S,0,2,UNKNOWN,350025,6,6_35,0,20-30,20-30_Pclass_3,0-10,Small,78.0,113,0.40217391304347827
0,3,6.0,4,2,31.275,S,1,7,UNKNOWN,347082,6,6_34,1,<20,<20_Pclass_3,30-40,Large,18.0,54,0.06818181818181818
0,1,24.0,0,1,247.5208,C,0,2,PC,17558,5,5_17,0,20-30,20-30_Pclass_1,200+,Small,24.0,101,0.6842105263157895
0,1,45.0,0,0,26.55,S,0,1,UNKNOWN,113050,6,6_11,0,40-50,40-50_Pclass_1,20-30,Alone,45.0,109,0.5365853658536586
0,2,29.0,1,0,27.7208,C,0,2,SC/PARIS,2167,4,4_21,0,20-30,20-30_Pclass_2,20-30,Small,58.0,78,0.625
0,3,30.0,0,0,7.8958,S,0,1,UNKNOWN,349216,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
1,1,30.0,0,0,35.5,S,0,1,UNKNOWN,19947,5,5_19,0,20-30,20-30_Pclass_1,30-40,Alone,30.0,109,0.5365853658536586
1,2,42.0,0,0,13.0,S,2,1,UNKNOWN,236852,6,6_23,1,40-50,40-50_Pclass_2,10-20,Alone,84.0,104,0.36470588235294116
0,3,36.0,1,1,24.15,S,0,3,UNKNOWN,345773,6,6_34,0,30-40,30-40_Pclass_3,20-30,Small,108.0,113,0.40217391304347827
0,2,33.0,0,0,12.275,S,0,1,SCO/W,1585,4,4_15,0,30-40,30-40_Pclass_2,10-20,Alone,66.0,104,0.36470588235294116
0,3,17.0,1,0,7.0542,S,0,2,UNKNOWN,350048,6,6_35,0,<20,<20_Pclass_3,0-10,Small,51.0,113,0.40217391304347827
1,3,29.0,0,0,9.5,S,0,1,UNKNOWN,345779,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,87.0,324,0.21374045801526717
1,2,50.0,0,1,26.0,S,2,2,UNKNOWN,230433,6,6_23,1,40-50,40-50_Pclass_2,20-30,Small,100.0,78,0.625
1,1,35.0,1,0,90.0,S,2,2,UNKNOWN,19943,5,5_19,1,30-40,30-40_Pclass_1,90-100,Small,35.0,101,0.6842105263157895
1,1,38.0,0,0,227.525,C,1,1,PC,17757,5,5_17,1,30-40,30-40_Pclass_1,200+,Alone,38.0,109,0.5365853658536586
0,2,34.0,0,0,13.0,S,0,1,UNKNOWN,250647,6,6_25,0,30-40,30-40_Pclass_2,10-20,Alone,68.0,104,0.36470588235294116
1,1,17.0,1,0,57.0,S,2,2,UNKNOWN,17474,5,5_17,1,<20,<20_Pclass_1,50-60,Small,17.0,101,0.6842105263157895
0,3,11.0,4,2,31.275,S,1,7,UNKNOWN,347082,6,6_34,1,<20,<20_Pclass_3,30-40,Large,33.0,54,0.06818181818181818
