Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,Mapped_Title,FamilySize,TicketPrefix,TicketNumber,TicketNumberLengthGroup,TicketNumberPrefix,Mapped_Sex,AgeGroup,Age_Pclass_Group,FareGroup,FamilySizeGroup,Age_Pclass,family_size_pclass_total,family_size_pclass_survived
0,1,45.5,0,0,28.5,2,0,1,35,113043,3,68,0,2,6,3,0,45.5,109,0.5365853658536586
0,2,23.0,0,0,13.0,2,0,1,35,28425,1,55,0,0,1,1,0,46.0,104,0.3647058823529411
0,3,32.0,0,0,7.925,2,0,1,33,3101293,2,84,0,1,5,0,0,96.0,324,0.2137404580152671
0,3,26.0,1,0,7.8542,2,0,2,35,350025,3,79,0,0,2,0,2,78.0,113,0.4021739130434782
0,3,6.0,4,2,31.275,2,1,7,35,347082,3,78,1,6,19,5,1,18.0,54,0.0681818181818181
0,1,24.0,0,1,247.5208,0,0,2,15,17558,1,46,0,0,0,4,2,24.0,101,0.6842105263157895
0,1,45.0,0,0,26.55,2,0,1,35,113050,3,68,0,2,6,3,0,45.0,109,0.5365853658536586
0,2,29.0,1,0,27.7208,0,0,2,26,2167,0,11,0,0,1,3,2,58.0,78,0.625
0,3,30.0,0,0,7.8958,2,0,1,35,349216,3,78,0,0,2,0,0,90.0,324,0.2137404580152671
1,1,30.0,0,0,35.5,2,0,1,35,19947,1,48,0,0,0,5,0,30.0,109,0.5365853658536586
1,2,42.0,0,0,13.0,2,2,1,35,236852,3,71,1,2,7,1,0,84.0,104,0.3647058823529411
0,3,36.0,1,1,24.15,2,0,3,35,345773,3,78,0,1,5,3,2,108.0,113,0.4021739130434782
0,2,33.0,0,0,12.275,2,0,1,28,1585,0,7,0,1,4,1,0,66.0,104,0.3647058823529411
0,3,17.0,1,0,7.0542,2,0,2,35,350048,3,79,0,6,19,0,2,51.0,113,0.4021739130434782
1,3,29.0,0,0,9.5,2,0,1,35,345779,3,78,0,0,2,0,0,87.0,324,0.2137404580152671
1,2,50.0,0,1,26.0,2,2,2,35,230433,3,71,1,2,7,3,2,100.0,78,0.625
1,1,35.0,1,0,90.0,2,2,2,35,19943,1,48,1,1,3,11,2,35.0,101,0.6842105263157895
